path	status	added	deleted	category	blob_sha_at_RC	bytes_at_RC
src/components/admin/AdminEmailTemplates.tsx	M	2	1	web component	8dc138c618f1179ec13a3c834efee330de9bffaf	23658
src/components/admin/AdminEmployee.tsx	M	2	1	web component	bde8d0335bcb62af2ab555046c0dbfeb663e2ffc	19388
src/components/admin/AdminSEO.tsx	M	4	3	web component	f1dee54c24c4d03375a4c6d4c73dbfaaa138afde	56371
src/components/admin/CloudflareEdgeChecklist.tsx	M	6	3	web component	a3f30f09aa747ad97c22be0c0ef542462b3d311a	12225
src/components/ads/AdComments.tsx	M	104	307	web component	27d9d8c682410f4f50fd9e61291791bfba7d1422	7928
src/components/ads/AdEngagementBar.tsx	M	42	76	web component	ff7025d4744a6debe854922bd20a48de02d996df	6843
src/components/ads/__tests__/StoryCardComments.test.tsx	A	201	0	test	fd2b6b50b892c205f5ecb961f3a2ddc6b87e7ebd	8714
src/components/ads/__tests__/StoryCardReactions.test.tsx	A	218	0	test	626449ba3209ef7dabc67b83b734a67c61b7419d	9126
src/components/comments/CommentThread.tsx	A	588	0	web component	6bc6554b5e86252c61ffb7d211501d6b1a30b07d	26202
src/components/comments/__tests__/CommentLineBreaks.test.tsx	A	196	0	test	d6b5a47007e3b6cc446a416c2ce3351a22004b10	9205
src/components/post/PostActionRow.tsx	A	248	0	web component	633cb654eee21fb228356da748f907383906d9b1	10752
src/components/post/PostCard.tsx	M	57	152	web component	fc388858d386ac854b1ce934161f6910e2195bc0	36781
src/components/post/PostMedia.tsx	M	13	5	web component	bc38b6c7468467ea923fbb7df951f4e093bc50ab	40097
src/components/post/PrivacyGapNotice.tsx	M	24	5	web component	eec581bf387831147fdc000c2c8335b3ffc9c13e	4673
src/components/post/__tests__/PostFullBleedAndTapTargets.test.ts	M	119	17	test	2bc6bdb76c962f7f37dd77824611874e4230c578	25454
src/components/post/__tests__/feedScreenFindings.test.ts	M	40	9	test	6cd5622ead60d968aa8c505e99539ff459c90774	9680
src/components/profile/QRCodeCard.tsx	M	2	1	web component	177beaa183c59cfc7380141bdbf2718126cddf7a	3588
src/lib/cdnImage.ts	M	3	2	web library	0a8f0811d7448512280678424db976b9dfdb5422	5888
src/lib/env.ts	A	68	0	web library	d041569de92a6575ecd933691f4503161722c35a	3767
src/lib/generateArticlePdf.ts	M	2	1	web library	0fd36e35f64f3685c282047e0ce9a3ebc14278e7	31585
src/lib/generateCertificatePdf.ts	M	39	7	web library	b19b06f24c8d76fa12263f2ed39b647db29d96e7	29845
src/lib/media/postMediaRead.ts	M	6	1	web library	660d66e190378dd78b6849f4687f9d3ff3ca36da	9564
src/lib/profilePhoto.ts	M	2	2	web library	90b0c7d74c4299f6e9d7d3195f55219331e71c9e	5245
src/lib/publicUrl.ts	M	4	1	web library	8319519d9e440b30f896a343e9190ec569e302ee	3608
src/lib/queryKeys.ts	M	2	0	web library	3b66ba8c5410b2f68c80752b6b963373649e943c	8823
src/lib/reportImageError.ts	M	2	1	web library	a155fd87e95f73f16d5beac225bfc015d7aa5ab2	6393
src/pages/EditProfile.tsx	M	2	1	web page	c84578a426a45fb3ff4f522fdb8a32949e8f38c0	72240
src/pages/Profile.tsx	M	3	2	web page	b161073d9c007ce4ad325c9429f6acc411756e65	28754
supabase/config.toml	M	0	6	supabase config	5a28c7b80d6f17bb9cd16ca899e5d60662decf60	2663
supabase/functions/_shared/email-templates/email-change.tsx	M	2	2	edge function	1badce748e83d658af2a691c3a529b0eca3c2a13	2587
supabase/functions/_shared/email-templates/invite.tsx	M	2	2	edge function	1c711f81f2160632fd8129b7ab23970d1b2cf7be	2487
supabase/functions/_shared/email-templates/magic-link.tsx	M	2	2	edge function	527cb765cb28716862095a586a02769609e2fa2e	2299
supabase/functions/_shared/email-templates/reauthentication.tsx	M	2	2	edge function	423f066edb799c6a3d5cd6c5608fd63d5fb04f80	2168
supabase/functions/_shared/email-templates/recovery.tsx	M	2	2	edge function	7965220653c3382a70c52e1dcff29ae2bf1efe9f	2744
supabase/functions/_shared/email-templates/signup.tsx	M	2	2	edge function	76ea85df39582b682ada933269e5e5228938f3af	3317
supabase/functions/_shared/laneConfig.ts	A	105	0	edge function	47fb12a7819fc35426749024f0cae85b3ded6a8f	4909
supabase/functions/_shared/manifestPlan.ts	M	6	3	edge function	e563ae3ca2760049cadf8bd50cdf44693d9148d9	23355
supabase/functions/_shared/referenceSet.ts	M	1	1	edge function	2573e0c0dbdfcb72d229babd4ed4a26cb6b40a2d	9542
supabase/functions/_shared/s3.ts	M	104	1	edge function	6f69b8382c4f611dbf6a739ccf484991b3638f42	15400
supabase/functions/_shared/secureHeaders.ts	M	108	12	edge function	6d805c66eb2813a1c565867bb8e1f59ebc279402	6963
supabase/functions/_shared/transactional-email-templates/BrandHeader.tsx	M	2	2	edge function	69207c88ee539b98afc14e9abdc9b00345f84604	1732
supabase/functions/_shared/transactional-email-templates/account-deleted.tsx	M	2	1	edge function	5a31f3bf0a102ed46cef984bce0538ba63e43684	5151
supabase/functions/_shared/transactional-email-templates/entry-finalist.tsx	M	3	2	edge function	3fcdf9a9ca59f638e3a401eb5bc2b23baa0c92b0	3870
supabase/functions/_shared/transactional-email-templates/entry-qualified-round.tsx	M	3	2	edge function	136de3bc113db4eb910ac7dc814e0e5e79f85f3f	3932
supabase/functions/_shared/transactional-email-templates/entry-rejected.tsx	M	3	2	edge function	1b843a4e7a4209a86ad1dc6a46e02a267d37a8a8	4063
supabase/functions/_shared/transactional-email-templates/entry-shortlisted.tsx	M	3	2	edge function	ee47f972a158c634f8ae217983b8f85a6300cdc2	3851
supabase/functions/_shared/transactional-email-templates/entry-winner.tsx	M	4	3	edge function	9efd8a9c614246ffed8ae9254afea616d64da9d5	5683
supabase/functions/_shared/transactional-email-templates/notification-alert.tsx	M	1	1	edge function	db4d8c33ae171aaf04723ae2facd61b6439cadc6	2905
supabase/functions/_shared/transactional-email-templates/reengagement-day-15.tsx	M	3	3	edge function	d4cef39d4240c71bbf600273114b6bf74af3758f	4042
supabase/functions/_shared/transactional-email-templates/reengagement-day-3.tsx	M	2	2	edge function	2d9abc21b4ac9b060a454e1f68a725996fa54a0a	3726
supabase/functions/_shared/transactional-email-templates/reengagement-day-30.tsx	M	3	3	edge function	caff2caec7c27dc7d6eb4bd9161aff63917d753f	4323
supabase/functions/_shared/transactional-email-templates/reengagement-day-40.tsx	M	3	3	edge function	0ee96b39f9936bf2cfe9bef9c225122c94e205ac	3823
supabase/functions/_shared/transactional-email-templates/reengagement-day-50.tsx	M	3	3	edge function	9d1170f22f839b4c7fb762ffba2e58fee545b5d7	3939
supabase/functions/_shared/transactional-email-templates/reengagement-day-60.tsx	M	2	2	edge function	3b68502696bdb883bcdba2c4d6ef3a2c25615206	3803
supabase/functions/_shared/transactional-email-templates/reengagement-day-7.tsx	M	2	2	edge function	e3848e40895b7a6745722b283fb4509f1927b0ff	3926
supabase/functions/_shared/transactional-email-templates/round-published-summary.tsx	M	3	2	edge function	6af2ce9e0ecdbff96467d9e05b6f35bf727f5577	4604
supabase/functions/ask-anything/index.ts	M	1	1	edge function	a35884dcee9f0d0dc514777dae9757ed3adcc628	19723
supabase/functions/backfill-thumbnails/index.ts	M	1	1	edge function	f6e2ca26e457a13a5d151fad1aa5555b7e38732f	14393
supabase/functions/create-payment-session/index.ts	M	3	3	edge function	b4d2f15afc1c0367e520d149b714accbad0fb475	8587
supabase/functions/hard-delete-competition/index.ts	M	5	0	edge function	31f8eb66f5856531058218679c18491bbf5d05f2	26123
supabase/functions/measure-post-media/index.ts	M	8	6	edge function	ecf80c68dc89b4d1d44bf24f06f8f66a8b03f816	14907
supabase/functions/migrate-storage/index.ts	M	5	0	edge function	b062f9a297215e68cea6a2bfc74464a8207619cd	12221
supabase/functions/process-email-queue/index.ts	M	1	1	edge function	cabd6ddbc2434753cba9fac4e2a008feed880eb7	16641
supabase/functions/s3-delete/index.ts	M	5	0	edge function	512365faa1763b79b0be803b13adb489f49c1f98	7847
supabase/functions/s3-presign-upload/index.ts	M	5	0	edge function	f5469518d4e96a92dd673c40ba558b6e8c28b363	10625
supabase/functions/s3-signed-url/index.ts	M	5	0	edge function	8bde455fd446774414df7bec2fb716a1c187d074	10762
supabase/functions/s3-upload/index.ts	M	5	0	edge function	cb6b19970917a336c8adfaef90731344a49abc1a	9053
supabase/functions/send-gift-credit/index.ts	M	25	6	edge function	4c704d839dc09f02376f258d62fc9c946f42e940	5556
supabase/functions/send-transactional-email/index.ts	M	2	2	edge function	43c31073980eface6a38967c5e430cf7eafb2a26	12703
supabase/functions/seo-crawler-verify/index.ts	M	11	11	edge function	cb864e659a9de75b3fd164577f07274174efcdb3	11827
supabase/functions/seo-route-metadata/index.ts	M	7	6	edge function	869a7131031b85224ab425f1f490eba1ed591068	16622
supabase/functions/sitemap/index.ts	M	12	9	edge function	be1d217c3ffa35411d8c31c54fdacfa4780ba58f	7248
supabase/functions/submit-judge-decision/index.ts	M	40	13	edge function	8fe0801000275df16234de2edf6c49ec08f48362	14468
supabase/migrations/20260824145345_admin_user_lookup_by_email.sql	A	95	0	DB migration	e25c3e7ebb338274e9b1518579755ba7239078a3	5166
supabase/migrations/20260828082136_ad_comment_ban_and_visibility_policies.sql	A	109	0	DB migration	b0cb70b8950ddb8935def26ac0cf7683941dbd4a	6772
supabase/rollback/20260824145345_admin_user_lookup_by_email_ROLLBACK.sql	A	53	0	DB rollback	e35b4534ee84bb4841764374c9165c56b60599f5	3174
supabase/rollback/20260828082136_ad_comment_ban_and_visibility_policies_ROLLBACK.sql	A	50	0	DB rollback	e8c47a8fe947d93fe73cbaa30482fb66b14483de	3224
supabase/rollback/UNAPPLIED_20260825060000_certificate_types_and_admin_search_ROLLBACK.sql	A	87	0	DB rollback	21ed4819a0a1ed6ffefe2204181a04ca56ff11b7	5010
supabase/rollback/UNAPPLIED_20260825120000_certificate_delete_removes_notifications_ROLLBACK.sql	A	66	0	DB rollback	64e187a022e6e79600c3fb215778cc3b160175a0	4246
supabase/rollback/UNAPPLIED_20260825170000_certificate_custom_heading_ROLLBACK.sql	A	136	0	DB rollback	26ea8465d2fc0c57d656af3f23ff1125fa21c7a9	7169
vite.config.ts	M	8	0	root/config	b3415a19d2d114571dfc7c79a0d6d1eaa60aba38	2064
vitest.config.ts	M	6	0	root/config	743c776ed6f03c933326192abc12bce3fc30fbd4	1355
